subj_idx,context,GroupCount,mean_FC3,mean_FC1,mean_C3,mean_CP3,mean_P1,mean_P3,mean_P5,mean_Pz,mean_Con1,mean_Con2,mean_Con3
30151,OO,3,2.608527713,2.624209609,2.834394574,4.688724167,2.812318054,3.682423082,1.457823224,2.869604498,1,1,1
36181,FF,3,8.222803222,1.072971503,8.550788535,1.85824434,8.066037867,0.474292199,0.635009209,12.30420144,-1,-1,1
36181,FO,3,-5.775635401,14.45526245,-5.955076615,-5.803194602,-2.777928193,-3.020942609,-1.64244771,-4.222297986,-1,1,-1
36181,OF,3,1.01303747,2.403168095,12.85279436,11.69300108,11.91710944,20.98240209,23.74538795,2.819512049,1,-1,-1
36181,OO,3,2.439979977,7.626346959,14.76380764,5.367106782,6.593567265,2.473937432,2.537262678,11.00865428,1,1,1
37191,FF,3,-0.786403457,-1.913876017,-1.330788771,1.29059581,1.342462646,0.912343383,0.761395587,2.58533997,-1,-1,1
37191,FO,3,6.440250701,3.466059115,7.519141091,6.842013319,6.115213023,6.658018947,9.408380058,-0.44121933,-1,1,-1
37191,OF,3,4.04706702,8.352752301,0.154419899,5.464038809,2.487935649,8.54294757,2.230644359,8.861671342,1,-1,-1
37191,OO,3,4.175224317,5.33382931,5.230170992,9.48132805,-0.375513554,-0.066360831,2.392313454,-1.198367437,1,1,1
39201,FF,3,7.070136918,6.675035265,6.484483613,2.938520485,2.962892691,24.10302019,-0.569787608,1.673029529,-1,-1,1
39201,FO,3,19.90039497,22.52960629,21.30240705,17.98356062,30.4840188,12.77778578,10.08333053,7.1491189,-1,1,-1
39201,OF,3,-4.941191037,-7.337567647,10.13438278,-1.662649632,-4.348604997,-5.505316575,-6.477656205,-6.709184806,1,-1,-1
39201,OO,3,13.58690442,14.80573569,-4.650351524,-4.191957951,-8.280697028,-7.646195253,-11.78322808,-6.272042751,1,1,1
44220,FF,3,24.69305484,17.88931227,14.35073683,17.81885126,19.39236535,18.48255783,8.125956217,18.74094794,-1,-1,1
44220,FO,3,13.32211113,13.38945977,12.46614795,15.1523855,16.59597227,17.76364125,46.44951842,15.61502986,-1,1,-1
44220,OF,3,14.89011447,13.88396025,11.36042489,35.34623867,42.18588681,39.95998902,38.99181069,0.995861689,1,-1,-1
44220,OO,3,3.48627154,24.25945997,4.428712209,4.117446264,21.38361316,33.81244416,21.21758694,66.43607648,1,1,1
45231,FF,3,122.2417115,125.9036007,36.91644563,153.259805,157.7520845,171.8231227,280.9172033,145.7076429,-1,-1,1
45231,FO,3,41.24739965,79.18714841,88.62890392,34.81269709,32.19727325,36.03045909,100.3681853,80.14045588,-1,1,-1
45231,OF,3,57.65987947,-41.38990974,79.68390677,74.8006808,60.57090335,65.13465118,99.77518802,55.35064061,1,-1,-1
45231,OO,3,-31.43349838,-32.90815417,75.29464997,72.11406581,-34.42476654,-34.13631948,-45.69421132,-37.09713618,1,1,1
47241,FF,3,-2.754398982,14.15352276,0.080200672,31.90948243,-4.539653778,-7.720993678,-8.34903272,6.534978231,-1,-1,1
47241,FO,3,12.14738464,1.853237947,29.09253634,21.11178599,41.48342514,39.32139142,38.97133191,37.92683495,-1,1,-1
47241,OF,3,25.94220734,27.80216063,9.634129153,51.73426045,-2.337266286,65.78747495,70.20553017,4.990651449,1,-1,-1
47241,OO,3,10.85640081,-7.476299763,13.85192421,56.13435353,49.05322393,37.46301842,78.79255104,31.27803379,1,1,1
48240,FF,3,-4.005149523,81.98198933,18.97149679,20.50140651,-6.687200228,-3.227894624,19.43539646,36.7582425,-1,-1,1
48240,FO,3,19.64703549,52.53356955,7.645885891,7.644233545,21.52427875,15.57004987,3.679916541,18.89136993,-1,1,-1
48240,OF,3,-0.443313917,35.78797425,11.10433176,22.44399786,17.15127638,10.92881325,17.91405704,19.90232319,1,-1,-1
48240,OO,3,9.190205998,-0.17835935,1.737416585,7.828401407,29.70621162,16.07664167,33.16162401,-2.904071172,1,1,1
49250,FF,3,5.175093253,1.385785341,1.803839604,1.629994313,1.10666426,2.866374135,2.317354759,1.036826611,-1,-1,1
49250,FO,3,7.447973808,6.763189713,6.797794316,7.899790949,7.739898973,7.764423728,9.422999461,10.15558418,-1,1,-1
49250,OF,3,6.455189308,5.841090918,4.779211654,4.936861224,15.13322801,4.734393477,7.103155851,4.452969392,1,-1,-1
49250,OO,3,12.43110601,14.23466897,12.95785843,12.4226101,12.75642175,12.82373265,13.22037911,9.28431495,1,1,1
50251,FF,3,-4.137055079,0.164334615,-4.312143485,8.3139996,11.47483963,10.34450557,11.37959819,11.13094293,-1,-1,1
50251,FO,3,-6.124219259,-1.536465327,-9.831178188,-5.844324748,18.89978547,-3.249542713,-9.498471578,15.72567839,-1,1,-1
50251,OF,3,11.85804558,12.57684411,12.33849096,13.93743112,14.08353625,25.07905043,17.7494598,31.16671027,1,-1,-1
50251,OO,3,-8.613025665,13.28827116,-14.48795017,-12.13330396,7.422144678,-12.67381652,-15.75492096,10.47742934,1,1,1
51260,FF,3,13.04551782,10.40541702,14.0176257,15.53808186,16.62418885,19.35976717,41.83911779,11.98453591,-1,-1,1
51260,FO,3,18.50024372,16.41806147,18.010627,20.15867588,21.20450857,25.45566485,2.173277855,22.32918236,-1,1,-1
51260,OF,3,25.65344959,5.18857797,6.103337924,2.550154845,1.292607943,27.85336738,37.34763983,27.60885689,1,-1,-1
51260,OO,3,-0.520848592,0.756184578,2.602911949,-2.424347719,-7.236316363,-8.176107725,28.15557236,-4.877904733,1,1,1
53270,FF,3,2.181739966,1.983691216,2.294099278,23.74299902,30.15207587,16.31742477,16.3372727,31.91318305,-1,-1,1
53270,FO,3,10.39624262,0.592610677,13.00885974,20.90037817,58.21509298,27.53909492,50.97478851,65.58787107,-1,1,-1
53270,OF,3,-5.482851823,-0.214781761,-4.327230136,-6.274397055,-9.423886617,-8.890434265,-11.08070803,-9.927666505,1,-1,-1
53270,OO,3,-17.90826941,-12.75732867,-11.76235294,-9.551424821,-5.475727081,-4.315142314,-1.800283909,-5.28784132,1,1,1
54271,FF,3,4.103460206,6.636364063,16.83092093,-0.514713049,10.88995775,9.859744443,11.28364049,11.54015128,-1,-1,1
54271,FO,3,20.07400905,7.136762063,5.740455866,7.262107505,7.594007174,6.573603365,6.829971896,9.767562548,-1,1,-1
54271,OF,3,17.81214449,15.88002515,11.72906009,8.238664283,10.53547319,16.36007367,10.233914,10.8034118,1,-1,-1
54271,OO,3,-0.666621844,-3.299948772,1.473297199,11.6680269,7.414656639,8.583313677,9.791449176,1.660527229,1,1,1
56281,FF,3,-2.879629532,9.38409853,-2.092271805,-3.011637529,-4.426409086,-2.103671551,9.354621728,-0.944779555,-1,-1,1
56281,FO,3,18.88704419,13.98291063,11.20140923,12.85682037,15.22879463,-5.768879731,12.06430928,17.62553114,-1,1,-1
56281,OF,3,11.72251709,12.44215377,18.5807404,21.68944173,28.84719923,27.62698052,29.05144898,19.87833495,1,-1,-1
