subj_idx,Trial,Response_Counterbalanced,CorrectResponse_Counterbalanced,rt,rt_sec,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount
2011,89,1,1,359,0.359,1,1,NoLoss,NoLoss,1
2011,90,3,3,304,0.304,1,1,Gain  ,Gain  ,1
2011,91,2,2,418,0.418,1,0,Cntrl ,Cntrl ,1
2011,92,1,1,272,0.272,1,1,NoLoss,NoLoss,1
2011,93,3,3,281,0.281,1,1,Gain  ,Gain  ,1
2011,94,2,2,261,0.261,1,1,Cntrl ,Cntrl ,1
2011,95,2,3,357,0.357,0,0,Gain  ,Cntrl ,1
2011,96,1,1,355,0.355,1,1,NoLoss,NoLoss,1
2011,97,3,3,324,0.324,1,1,Gain  ,Gain  ,1
2011,98,1,1,290,0.29,1,1,NoLoss,NoLoss,1
2011,99,2,2,311,0.311,1,1,Cntrl ,Cntrl ,1
2011,100,3,3,412,0.412,1,0,Gain  ,Gain  ,1
2011,101,2,2,303,0.303,1,1,Cntrl ,Cntrl ,1
2011,102,1,1,372,0.372,1,1,NoLoss,NoLoss,1
2011,103,3,3,334,0.334,1,1,Gain  ,Gain  ,1
2011,104,1,1,375,0.375,1,1,NoLoss,NoLoss,1
2011,105,2,2,291,0.291,1,1,Cntrl ,Cntrl ,1
2011,106,3,3,248,0.248,1,1,Gain  ,Gain  ,1
2011,107,2,2,467,0.467,1,0,Cntrl ,Cntrl ,1
2011,108,1,1,376,0.376,1,1,NoLoss,NoLoss,1
2011,109,3,2,397,0.397,0,0,Cntrl ,Gain  ,1
2011,110,1,1,424,0.424,1,0,NoLoss,NoLoss,1
2011,111,NA,3,0,0,0,0,Gain  ,NA   ,1
2011,112,1,1,459,0.459,1,0,NoLoss,NoLoss,1
2011,113,3,3,373,0.373,1,1,Gain  ,Gain  ,1
2011,114,2,2,353,0.353,1,1,Cntrl ,Cntrl ,1
2011,115,1,1,337,0.337,1,1,NoLoss,NoLoss,1
2011,116,2,2,450,0.45,1,0,Cntrl ,Cntrl ,1
2011,117,3,3,279,0.279,1,1,Gain  ,Gain  ,1
2011,118,2,2,488,0.488,1,0,Cntrl ,Cntrl ,1
2011,119,1,1,434,0.434,1,0,NoLoss,NoLoss,1
2011,120,3,3,356,0.356,1,1,Gain  ,Gain  ,1
2011,121,1,1,284,0.284,1,1,NoLoss,NoLoss,1
2011,122,2,2,315,0.315,1,1,Cntrl ,Cntrl ,1
2011,123,3,3,301,0.301,1,1,Gain  ,Gain  ,1
2011,124,2,2,457,0.457,1,0,Cntrl ,Cntrl ,1
2011,125,3,3,367,0.367,1,1,Gain  ,Gain  ,1
2011,126,1,1,449,0.449,1,0,NoLoss,NoLoss,1
2011,127,3,3,283,0.283,1,1,Gain  ,Gain  ,1
2011,128,2,2,325,0.325,1,1,Cntrl ,Cntrl ,1
2011,129,1,1,353,0.353,1,1,NoLoss,NoLoss,1
2011,130,2,2,333,0.333,1,1,Cntrl ,Cntrl ,1
2011,131,3,3,302,0.302,1,1,Gain  ,Gain  ,1
2011,132,2,1,465,0.465,0,0,NoLoss,Cntrl ,1
2011,133,3,3,342,0.342,1,1,Gain  ,Gain  ,1
2011,134,2,2,256,0.256,1,1,Cntrl ,Cntrl ,1
2011,135,3,1,443,0.443,0,0,NoLoss,Gain  ,1
2011,136,3,3,355,0.355,1,1,Gain  ,Gain  ,1
2011,137,2,2,322,0.322,1,1,Cntrl ,Cntrl ,1
2011,138,1,1,350,0.35,1,1,NoLoss,NoLoss,1
2011,139,3,3,285,0.285,1,1,Gain  ,Gain  ,1
2011,140,1,1,429,0.429,1,0,NoLoss,NoLoss,1
2011,141,2,2,352,0.352,1,1,Cntrl ,Cntrl ,1
2011,142,3,3,293,0.293,1,1,Gain  ,Gain  ,1
2011,143,2,2,425,0.425,1,0,Cntrl ,Cntrl ,1
2011,144,1,1,319,0.319,1,1,NoLoss,NoLoss,1
2011,145,3,3,316,0.316,1,1,Gain  ,Gain  ,1
2011,146,2,2,336,0.336,1,1,Cntrl ,Cntrl ,1
2011,147,3,1,370,0.37,0,0,NoLoss,Gain  ,1
2011,148,1,3,406,0.406,0,0,Gain  ,NoLoss,1
2011,149,1,2,409,0.409,0,0,Cntrl ,NoLoss,1
2011,150,1,1,455,0.455,1,0,NoLoss,NoLoss,1
2011,151,2,2,445,0.445,1,0,Cntrl ,Cntrl ,1
2011,152,2,1,388,0.388,0,0,NoLoss,Cntrl ,1
2011,153,3,3,314,0.314,1,1,Gain  ,Gain  ,1
2011,154,1,1,311,0.311,1,1,NoLoss,NoLoss,1
2011,155,2,2,383,0.383,1,1,Cntrl ,Cntrl ,1
2011,156,NA,3,0,0,0,0,Gain  ,NA   ,1
2011,157,2,2,355,0.355,1,1,Cntrl ,Cntrl ,1
2011,158,1,1,334,0.334,1,1,NoLoss,NoLoss,1
2011,159,3,3,335,0.335,1,1,Gain  ,Gain  ,1
2011,160,1,1,395,0.395,1,1,NoLoss,NoLoss,1
2011,161,2,2,287,0.287,1,1,Cntrl ,Cntrl ,1
