subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
3011,96,458,1,1,0,1,0,Cntrl ,Cntrl ,1,0.458
3011,98,272,1,1,0,1,1,NoLoss,NoLoss,1,0.272
3011,100,333,1,1,0,1,1,Gain  ,Gain  ,1,0.333
3011,102,430,1,1,0,1,0,Cntrl ,Cntrl ,1,0.43
3011,104,474,1,1,0,1,0,Cntrl ,Cntrl ,1,0.474
3011,106,264,1,1,0,1,1,Gain  ,Gain  ,1,0.264
3011,108,279,1,1,0,1,1,NoLoss,NoLoss,1,0.279
3011,110,253,1,1,0,1,1,Cntrl ,Cntrl ,1,0.253
3011,112,312,1,1,0,1,1,Gain  ,Gain  ,1,0.312
3011,114,485,1,1,0,1,0,Cntrl ,Cntrl ,1,0.485
3011,116,267,1,1,0,1,1,Gain  ,Gain  ,1,0.267
3011,118,335,1,1,0,1,1,Gain  ,Gain  ,1,0.335
3011,120,390,1,1,0,1,1,NoLoss,NoLoss,1,0.39
3011,122,386,1,1,0,1,1,NoLoss,NoLoss,1,0.386
3011,124,375,1,1,0,1,1,Gain  ,Gain  ,1,0.375
3011,126,288,1,1,0,1,1,NoLoss,NoLoss,1,0.288
3011,128,466,1,1,0,1,0,NoLoss,NoLoss,1,0.466
3011,130,189,1,1,0,0,0,Gain  ,NoLoss,1,0.189
3011,132,180,1,1,0,0,0,Cntrl ,NoLoss,1,0.18
3011,134,217,1,1,0,1,1,NoLoss,NoLoss,1,0.217
3011,136,326,1,1,0,1,1,NoLoss,NoLoss,1,0.326
3011,138,86,1,1,0,0,0,Cntrl ,NoLoss,1,0.086
3011,140,304,1,1,0,1,1,Cntrl ,Cntrl ,1,0.304
3011,142,203,1,1,0,1,1,NoLoss,NoLoss,1,0.203
3011,144,205,1,1,0,0,0,Cntrl ,NoLoss,1,0.205
3011,146,209,1,1,0,0,0,Gain  ,NoLoss,1,0.209
3011,148,221,1,1,0,0,0,Gain  ,NoLoss,1,0.221
3011,150,352,1,1,0,1,1,Cntrl ,Cntrl ,1,0.352
3011,152,230,1,1,0,0,0,Cntrl ,NoLoss,1,0.23
3011,154,0,1,1,0,0,0,Cntrl ,NA   ,1,0
3011,156,330,1,1,0,1,1,Gain  ,Gain  ,1,0.33
3011,158,353,1,1,0,1,1,NoLoss,NoLoss,1,0.353
3011,160,371,1,1,0,1,1,NoLoss,NoLoss,1,0.371
3011,162,211,1,1,0,0,0,Cntrl ,NoLoss,1,0.211
3011,164,239,1,1,0,0,0,Cntrl ,NoLoss,1,0.239
3011,166,463,1,1,0,0,0,Cntrl ,Gain  ,1,0.463
3011,168,0,1,1,0,0,0,NoLoss,NA   ,1,0
3011,170,190,1,1,0,1,1,NoLoss,NoLoss,1,0.19
3011,172,239,1,1,0,1,1,NoLoss,NoLoss,1,0.239
3011,174,215,1,1,0,0,0,Gain  ,NoLoss,1,0.215
3011,176,233,1,1,0,1,1,NoLoss,NoLoss,1,0.233
3011,178,290,1,1,0,0,0,Cntrl ,NoLoss,1,0.29
3011,180,267,1,1,0,1,1,NoLoss,NoLoss,1,0.267
4012,2,370,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.37
4012,4,419,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.419
4012,6,406,0.5,0.5,0,1,0,NoLoss,NoLoss,0.5,0.406
4012,8,404,0.5,0.5,0,1,0,NoLoss,NoLoss,0.5,0.404
4012,10,371,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.371
4012,12,274,0.5,0.5,0,1,1,Cntrl ,Cntrl ,0.5,0.274
4012,14,423,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.423
4012,16,434,0.5,0.5,0,0,0,Gain  ,NoLoss,0.5,0.434
4012,18,447,0.5,0.5,0,0,0,NoLoss,Gain  ,0.5,0.447
4012,20,426,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.426
4012,22,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,24,420,0.5,0.5,0,1,0,NoLoss,NoLoss,0.5,0.42
4012,26,353,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.353
4012,28,387,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.387
4012,30,0,0.5,0.5,0,0,0,NoLoss,NA   ,0.5,0
4012,32,344,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.344
4012,34,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,36,481,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.481
4012,38,404,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.404
4012,40,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,42,375,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.375
4012,44,308,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.308
4012,46,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,48,291,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.291
